,lang,author,book_title,process_time,uniq_words,total_words
0,english,shakespeare,A Midsummer Night's Dream,36.44,3226,16972
1,english,shakespeare,Hamlet,66.07,4794,29575
2,english,shakespeare,Macbeth,39.44,3552,17646
3,english,shakespeare,Othello,60.86,4032,27379
4,english,shakespeare,Richard III,78.3,4705,34665
5,english,shakespeare,Romeo and Juliet,64.33,4325,28920
6,english,shakespeare,The Merchant of Venice,48.53,3529,21951
7,french,chevalier,L'ale de sable,643.08,13420,77237
8,french,chevalier,L'enfer et le paradis de l'autre monde,104.55,7549,44085
9,french,chevalier,La capitaine,122.14,9421,49153
10,french,chevalier,La fille des indiens rouges,191.84,12677,72098
11,french,chevalier,La fille du pirate,137.34,11148,52969
12,french,chevalier,Le chasseur noir,136.46,8860,55197
13,french,chevalier,Les derniers Iroquois,154.06,11370,59296
14,french,de Maupassant,Boule de Suif,94.99,8322,39201
15,french,de Maupassant,Claire de Lune,64.95,6434,28054
16,french,de Maupassant,Contes de la Becasse,89.39,7948,37309
17,french,de Maupassant,Euvres completes de Guy de Maupassant,149.95,11747,57768
18,french,de Maupassant,L'inutile beaut,97.89,7967,41145
19,french,de Maupassant,La Main Gauche,87.27,7431,37089
20,french,de Maupassant,La Maison Tellier,118.32,9308,47994
21,french,de Maupassant,La petite roque,106.5,8027,44309
22,french,de Maupassant,Le Horla,107.05,8129,44560
23,french,diderot,Ceci n'est pas un conte,24.03,3111,11379
24,french,diderot,Entretien d'un pare avec ses enfants,24.89,3027,11679
25,french,diderot,L'oiseau blanc,52.08,4992,23468
26,french,diderot,Les deux amis de Bourbonne,18.28,2545,8804
27,french,diderot,Regrets sur ma vieille robe de chambre,10.74,1636,5264
28,french,sand,cora,28.33,3742,13224
29,french,sand,Jacques le fataliste et son maatre,248.86,12076,95090
30,french,sand,L' Orco,19.73,2683,9414
31,french,sand,La Coupe; Lupo Liverani; Le Toast; Garnier; Le Contrebandier; La Raverie o Paris,123.93,9264,50760
32,french,sand,La Marquise,34.6,4030,15929
33,french,sand,Le Piccinino,482.25,16332,166328
34,french,sand,Le poame de Myrza,29.64,3703,13768
35,french,sand,Mattea,51.37,5266,22937
36,french,sand,Metella,47.62,4479,21361
37,french,sand,Oeuvres illustres de George Sand,56.34,6256,24681
38,french,sand,Pauline,68.8,6086,30026
39,german,lessing,der freigeist,53.98,4269,24409
40,german,lessing,der junge gelehrte,65.02,4715,29101
41,german,lessing,die juden,28.78,2894,13515
42,german,lessing,emilia galotti,51.84,4813,22985
43,german,lessing,hamburgische dramaturgie,457.0,18903,153864
